name,rating,price,zip_code,categories,cuisine,borough
David's Restaurant,4.5,$$,11223,"Kosher, Middle Eastern",Kosher,"Brooklyn, NY"
Traif,4.5,$$$$,11211,"New American, Tapas/Small Plates",Kosher,"Brooklyn, NY"
David's Brisket House and Deli,4.0,$$,11216,"Delis, Sandwiches, Burgers",Kosher,"Brooklyn, NY"
The Loft Steakhouse,4.5,$$$,11218,"Steakhouses, Kosher",Kosher,"Brooklyn, NY"
Bunna Cafe,4.5,$$,11237,"Ethiopian, Vegan, African",Kosher,"Brooklyn, NY"
Meat Cafe,3.5,Not Available,11213,"Kosher, Steakhouses, Cocktail Bars",Kosher,"Brooklyn, NY"
T Fusion Steakhouse,4.0,$$$,11234,"Steakhouses, Kosher, Venues & Event Spaces",Kosher,"Brooklyn, NY"
Boeuf & Bun,3.5,$$,11213,Burgers,Kosher,"Brooklyn, NY"
Reunion,4.5,$$,11211,"Breakfast & Brunch, Middle Eastern, Cocktail Bars",Kosher,"Brooklyn, NY"
ALENbi,3.5,$$$$,11225,"Middle Eastern, Kosher",Kosher,"Brooklyn, NY"
Yemen Cafe & Restaurant,4.5,$$,11201,"Middle Eastern, Cafes, Soup",Kosher,"Brooklyn, NY"
12 Chairs Cafe,4.0,$$,11249,"Middle Eastern, Breakfast & Brunch, Mediterranean",Kosher,"Brooklyn, NY"
Bordeaux,4.5,$$$,11230,"Kosher, Steakhouses, New American",Kosher,"Brooklyn, NY"
Malka NYC,5.0,Not Available,10023,Kosher,Kosher,"Brooklyn, NY"
Abaita,4.5,Not Available,10017,"Mediterranean, Kosher, Pizza",Kosher,"Brooklyn, NY"
The Bay Cafe,4.0,Not Available,11235,"Cafes, Kosher",Kosher,"Brooklyn, NY"
Patrizia's - Williamsburg,4.0,$$,11249,"Pizza, Italian",Kosher,"Brooklyn, NY"
Greenwich and Delancey,5.0,Not Available,10006,"Kosher, Soup, Sandwiches",Kosher,"Brooklyn, NY"
Munch Street Food,4.5,Not Available,11230,"Kosher, Fast Food",Kosher,"Brooklyn, NY"
Gruit,3.5,Not Available,11225,"Bars, Kosher, Beer Gardens",Kosher,"Brooklyn, NY"
Bison & Bourbon,3.0,$$$$,11215,"Kosher, Burgers, American",Kosher,"Brooklyn, NY"
Abe's Corner,4.5,Not Available,11226,"Sports Bars, Salad, Sandwiches",Kosher,"Brooklyn, NY"
Barnea Bistro,4.5,Not Available,10017,"French, Wine Bars, Beer Bar",Kosher,"Brooklyn, NY"
King Solomon Glatt Kosher Catering & Reastaurant,4.0,$$,11230,"Kosher, Russian, Middle Eastern",Kosher,"Brooklyn, NY"
Orchidea,4.0,$$$,11219,"Kosher, New American",Kosher,"Brooklyn, NY"
Miznon,4.0,$$,10011,"Mediterranean, Middle Eastern, Sandwiches",Kosher,"Brooklyn, NY"
19 Cleveland,4.0,$$,10012,Mediterranean,Kosher,"Brooklyn, NY"
Essen NY Deli,4.0,$$,11230,"Delis, Kosher",Kosher,"Brooklyn, NY"
Grill On Lee,3.5,$$,11205,"Kosher, Chinese, Delis",Kosher,"Brooklyn, NY"
Shalom Japan,4.0,$$$,11211,Japanese,Kosher,"Brooklyn, NY"
Masuda Omakase,5.0,Not Available,10018,"Sushi Bars, Personal Chefs, Kosher",Kosher,"Brooklyn, NY"
Luanne's Wild Ginger,4.5,$$,11205,"Vegan, Kosher",Kosher,"Brooklyn, NY"
Hapisgah,3.5,$$$,11367,"Kosher, Steakhouses",Kosher,"Brooklyn, NY"
Oshi's Cafe,4.5,Not Available,11229,"Kosher, Vegetarian, Mediterranean",Kosher,"Brooklyn, NY"
Zula Grill,4.5,Not Available,07631,Mediterranean,Kosher,"Brooklyn, NY"
Shiraz Kitchen & Wine Bar,4.5,Not Available,10011,"Persian/Iranian, Wine Bars, Mediterranean",Kosher,"Brooklyn, NY"
Karczma,4.5,$$,11222,Polish,Kosher,"Brooklyn, NY"
Meze,4.0,$$,11219,"Greek, Mediterranean, Seafood",Kosher,"Brooklyn, NY"
Hometown Bar-B-Que,3.5,$$,11232,"Barbeque, Sandwiches",Kosher,"Brooklyn, NY"
Ravagh Persian Grill,4.0,$$,10016,"Middle Eastern, Persian/Iranian, Mediterranean",Kosher,"Brooklyn, NY"
Holy Schnitzel,4.0,$$,11223,"Kosher, Salad, Sandwiches",Kosher,"Brooklyn, NY"
Mile End Delicatessen Brooklyn,3.5,$$,11217,"Delis, Breakfast & Brunch, Sandwiches",Kosher,"Brooklyn, NY"
Mint,3.5,$$,11223,"New American, Seafood, Kosher",Kosher,"Brooklyn, NY"
Trattoria L'incontro,4.5,$$$,11105,"Italian, Pizza, Salad",Italian,"Queens, NY"
Tuscan Hills,4.0,$$,11375,"Italian, Pizza, Wine Bars",Italian,"Queens, NY"
Valdari NYC,4.0,Not Available,11361,"Italian, Pizza, Cocktail Bars",Italian,"Queens, NY"
Park Side Restaurant,4.0,$$$,11368,Italian,Italian,"Queens, NY"
Vite Vinosteria,4.5,$$,11106,"Italian, Wine Bars",Italian,"Queens, NY"
Rustico Taverna,4.5,Not Available,11385,"Italian, Pizza",Italian,"Queens, NY"
Don Peppe,4.0,$$$,11420,"Italian, Desserts, Seafood",Italian,"Queens, NY"
Fuzi Pasta Co,4.5,$$,11365,"Pasta Shops, Italian",Italian,"Queens, NY"
Trattoria 35,4.0,$$,11361,"Pizza, Italian",Italian,"Queens, NY"
Il Poeta,4.0,$$,11375,"Italian, Wine Bars",Italian,"Queens, NY"
Sotto La Luna,4.5,Not Available,11106,"Italian, Pizza",Italian,"Queens, NY"
Bruno's Ristorante,4.5,$$,11414,Italian,Italian,"Queens, NY"
Concettina Restaurant,4.5,Not Available,11357,"Italian, Southern, Mediterranean",Italian,"Queens, NY"
Palermo Restaurant & Bar,4.5,$$,11105,"Italian, Bars",Italian,"Queens, NY"
La Vigna Restaurant,3.5,$$,11375,Italian,Italian,"Queens, NY"
Villaggio Ristorante Italian Bistro,4.0,$$,11357,"Italian, Seafood, Salad",Italian,"Queens, NY"
Riviera Ristorante,4.5,$$,11357,Italian,Italian,"Queens, NY"
SoleLuna Restaurant,4.5,$$,11104,"Cafes, Italian, Breakfast & Brunch",Italian,"Queens, NY"
Barosa,3.5,$$,11374,"Italian, Seafood, Pizza",Italian,"Queens, NY"
Dee's Wood Fired Pizza & Kitchen,4.0,$$,11375,"Pizza, Italian, American",Italian,"Queens, NY"
Portofino Ristorante,3.0,$$$,11375,"Italian, Salad, Soup",Italian,"Queens, NY"
Vetro Restaurant & Lounge,4.5,$$$,11414,"Italian, Lounges, Venues & Event Spaces",Italian,"Queens, NY"
Acquista Trattoria,4.0,$$,11366,"Pizza, Italian",Italian,"Queens, NY"
Luigi's Restaurant & Bar,4.0,$$,11040,Italian,Italian,"Queens, NY"
Piatto,4.0,$$,11101,"Pizza, Italian, Wine Bars",Italian,"Queens, NY"
Da Andrea - Greenwich Village,4.5,$$,10011,"Italian, Mediterranean, Breakfast & Brunch",Italian,"Queens, NY"
Maggiano's Little Italy - Garden City,4.0,$$,11530,"Bars, Italian",Italian,"Queens, NY"
Armondo's Italian Restaurant,4.5,$$$,11372,Italian,Italian,"Queens, NY"
